Dataset_Setting,Model_Setting,Data_Name,Num_Symbols,N_Order,Model_Type,Attention_Only,PE_Type,Use_Residual,Layers,Heads,Embed_Dim,LR,Final_Sample_CE,Final_Theory_CE,Final_Sample_KL,Final_Theory_KL
HMM_V2_O2,L2_H1_D16_performer_AttnOnlyTrue_PE-absolute_ResTrue_LR0.0005,HMM,2,2,performer,True,absolute,True,2,1,16,0.0005,1.040511,1.029065,1.040511,0.562600
HMM_V2_O2,L2_H2_D16_performer_AttnOnlyTrue_PE-absolute_ResTrue_LR0.0005,HMM,2,2,performer,True,absolute,True,2,2,16,0.0005,0.717520,0.718436,0.717520,0.048364
HMM_V2_O2,L2_H1_D16_performer_AttnOnlyTrue_PE-absolute_ResFalse_LR0.0005,HMM,2,2,performer,True,absolute,False,2,1,16,0.0005,0.658967,0.653010,0.658967,0.117542
HMM_V2_O2,L2_H2_D16_performer_AttnOnlyTrue_PE-absolute_ResFalse_LR0.0005,HMM,2,2,performer,True,absolute,False,2,2,16,0.0005,0.712472,0.718406,0.712472,0.030321
HMM_V2_O2,L2_H1_D16_performer_AttnOnlyTrue_PE-rope_ResTrue_LR0.0005,HMM,2,2,performer,True,rope,True,2,1,16,0.0005,0.858637,0.854213,0.858637,0.311327
HMM_V2_O2,L2_H2_D16_performer_AttnOnlyTrue_PE-rope_ResTrue_LR0.0005,HMM,2,2,performer,True,rope,True,2,2,16,0.0005,0.631427,0.633774,0.631427,0.090795
HMM_V2_O2,L2_H1_D16_performer_AttnOnlyTrue_PE-rope_ResFalse_LR0.0005,HMM,2,2,performer,True,rope,False,2,1,16,0.0005,0.714921,0.705783,0.714921,0.089539
HMM_V2_O2,L2_H2_D16_performer_AttnOnlyTrue_PE-rope_ResFalse_LR0.0005,HMM,2,2,performer,True,rope,False,2,2,16,0.0005,1.013120,1.012971,1.013120,0.449991
HMM_V2_O2,L2_H1_D16_performer_AttnOnlyFalse_PE-absolute_ResTrue_LR0.0005,HMM,2,2,performer,False,absolute,True,2,1,16,0.0005,0.642587,0.641655,0.642587,0.114769
HMM_V2_O2,L2_H2_D16_performer_AttnOnlyFalse_PE-absolute_ResTrue_LR0.0005,HMM,2,2,performer,False,absolute,True,2,2,16,0.0005,0.846300,0.845042,0.846300,0.300958
HMM_V2_O2,L2_H1_D16_performer_AttnOnlyFalse_PE-absolute_ResFalse_LR0.0005,HMM,2,2,performer,False,absolute,False,2,1,16,0.0005,0.667067,0.679069,0.667067,0.097344
HMM_V2_O2,L2_H2_D16_performer_AttnOnlyFalse_PE-absolute_ResFalse_LR0.0005,HMM,2,2,performer,False,absolute,False,2,2,16,0.0005,0.724227,0.720386,0.724227,0.094558
HMM_V2_O2,L2_H1_D16_performer_AttnOnlyFalse_PE-rope_ResTrue_LR0.0005,HMM,2,2,performer,False,rope,True,2,1,16,0.0005,0.781728,0.786052,0.781728,0.113536
HMM_V2_O2,L2_H2_D16_performer_AttnOnlyFalse_PE-rope_ResTrue_LR0.0005,HMM,2,2,performer,False,rope,True,2,2,16,0.0005,0.716371,0.713991,0.716371,0.034674
HMM_V2_O2,L2_H1_D16_performer_AttnOnlyFalse_PE-rope_ResFalse_LR0.0005,HMM,2,2,performer,False,rope,False,2,1,16,0.0005,0.838358,0.837677,0.838358,0.369795
HMM_V2_O2,L2_H2_D16_performer_AttnOnlyFalse_PE-rope_ResFalse_LR0.0005,HMM,2,2,performer,False,rope,False,2,2,16,0.0005,1.671435,1.680553,1.671435,1.245226
HMM_V2_O2,L2_H1_D16_standard_AttnOnlyTrue_PE-absolute_ResTrue_LR0.0005,HMM,2,2,standard,True,absolute,True,2,1,16,0.0005,0.677233,0.678467,0.677233,0.020311
HMM_V2_O2,L2_H2_D16_standard_AttnOnlyTrue_PE-absolute_ResTrue_LR0.0005,HMM,2,2,standard,True,absolute,True,2,2,16,0.0005,0.648906,0.643529,0.648905,0.039334
HMM_V2_O2,L2_H1_D16_standard_AttnOnlyTrue_PE-absolute_ResFalse_LR0.0005,HMM,2,2,standard,True,absolute,False,2,1,16,0.0005,1.005955,0.995370,1.005955,0.391653
HMM_V2_O2,L2_H2_D16_standard_AttnOnlyTrue_PE-absolute_ResFalse_LR0.0005,HMM,2,2,standard,True,absolute,False,2,2,16,0.0005,0.789952,0.784503,0.789952,0.105648
HMM_V2_O2,L2_H1_D16_standard_AttnOnlyTrue_PE-rpe_ResTrue_LR0.0005,HMM,2,2,standard,True,rpe,True,2,1,16,0.0005,0.842402,0.837688,0.842402,0.275459
HMM_V2_O2,L2_H2_D16_standard_AttnOnlyTrue_PE-rpe_ResTrue_LR0.0005,HMM,2,2,standard,True,rpe,True,2,2,16,0.0005,0.693356,0.694606,0.693356,0.266194
HMM_V2_O2,L2_H1_D16_standard_AttnOnlyTrue_PE-rpe_ResFalse_LR0.0005,HMM,2,2,standard,True,rpe,False,2,1,16,0.0005,0.614937,0.617218,0.614937,0.053021
HMM_V2_O2,L2_H2_D16_standard_AttnOnlyTrue_PE-rpe_ResFalse_LR0.0005,HMM,2,2,standard,True,rpe,False,2,2,16,0.0005,0.824554,0.835176,0.824554,0.252211
HMM_V2_O2,L2_H1_D16_standard_AttnOnlyTrue_PE-rope_ResTrue_LR0.0005,HMM,2,2,standard,True,rope,True,2,1,16,0.0005,0.858494,0.861602,0.858494,0.242899
HMM_V2_O2,L2_H2_D16_standard_AttnOnlyTrue_PE-rope_ResTrue_LR0.0005,HMM,2,2,standard,True,rope,True,2,2,16,0.0005,1.117317,1.119408,1.117317,0.581484
HMM_V2_O2,L2_H1_D16_standard_AttnOnlyTrue_PE-rope_ResFalse_LR0.0005,HMM,2,2,standard,True,rope,False,2,1,16,0.0005,1.446638,1.430681,1.446638,0.817296
